Время (сек),Расстояние (см)
0.013,174.35
0.126,174.05
0.238,173.81
0.351,173.72
0.464,173.77
0.577,173.96
0.689,173.96
0.802,173.77
0.915,174.44
1.028,173.86
1.141,173.98
1.253,173.83
1.358,30.16
1.462,29.73
1.566,17.61
1.67,17.17
1.773,11.2
1.876,7.68
1.979,7.18
2.082,4.6
2.185,3.95
2.288,6.77
2.391,8.0
2.494,9.61
2.598,12.88
2.701,16.85
2.805,21.2
2.909,25.08
